Round,Tick,Victim,VictimPosition,Attacker,AttackerPosition
1,4388,olofmeister,"""51.7489013671875,-171.82546997070312,32.34376525878906""",pashaBiceps g2a.com,"""599.7948608398438,-191.1645050048828,0.03125"""
1,4662,dennis,"""-1921.234375,-1349.135498046875,64.03125""",TaZ g2a.com,"""-1758.581298828125,-1370.0367431640625,0.03125"""
1,5036,wenton,"""-2127.790771484375,-1295.0986328125,54.70018005371094""",Snax g2a.com,"""-3286.286865234375,-346.6036376953125,0.03125"""
1,5052,twist,"""-2663.4169921875,-1061.8372802734375,90.95781707763672""",neo g2a.com,"""-1775.8424072265625,-873.6943359375,0.03125"""
1,5628,byali g2a.com,"""-1559.1695556640625,-882.8959350585938,52.03125""",Lekr0,"""-1898.7696533203125,-1365.52978515625,0.03125"""
1,7386,neo g2a.com,"""-2375.59765625,-675.9752197265625,20.898239135742188""",Lekr0,"""-1875.019287109375,-1328.87109375,0.03125"""
1,7428,Lekr0,"""-1864.0606689453125,-1328.2628173828125,46.03125""",pashaBiceps g2a.com,"""-1515.0028076171875,-840.6990966796875,-11.96875"""
2,18760,dennis,"""221.92552185058594,-528.5481567382812,-16.30878448486328""",neo g2a.com,"""722.8359985351562,-515.3110961914062,-67.46550750732422"""
2,18775,olofmeister,"""-714.6495361328125,-710.6898803710938,32.03125""",byali g2a.com,"""-524.6436767578125,-499.31524658203125,-31.96875"""
2,18946,wenton,"""286.6708679199219,-476.842529296875,-18.90142059326172""",pashaBiceps g2a.com,"""583.847412109375,-387.9755859375,0.03125"""
2,18949,pashaBiceps g2a.com,"""582.2592163085938,-383.24627685546875,64.03125""",Lekr0,"""553.1715698242188,-95.96499633789062,0.03125"""
2,18966,Lekr0,"""555.8363037109375,-98.51390075683594,46.03125""",neo g2a.com,"""705.2592163085938,-499.6191101074219,-60.85835647583008"""
2,19082,neo g2a.com,"""675.8410034179688,-550.95947265625,-18.47534942626953""",twist,"""-110.91252136230469,-834.2199096679688,-113.99816131591797"""
2,19167,twist,"""-118.23202514648438,-819.1455078125,-49.40446472167969""",byali g2a.com,"""-463.0376281738281,-525.391845703125,-31.96875"""
3,24257,olofmeister,"""-253.823974609375,-133.29872131347656,32.03125""",pashaBiceps g2a.com,"""299.1105651855469,-253.20765686035156,-9.96875"""
3,24269,pashaBiceps g2a.com,"""299.09857177734375,-253.26840209960938,54.03125""",wenton,"""-387.6524963378906,-96.84341430664062,-32.592594146728516"""
3,25706,dennis,"""-554.1341552734375,-196.0772247314453,30.03125""",neo g2a.com,"""677.2672119140625,-129.56463623046875,0.03125"""
3,26472,wenton,"""-641.1256713867188,-124.09740447998047,12.19388198852539""",neo g2a.com,"""692.1785278320312,-283.84136962890625,0.03125"""
3,26496,Lekr0,"""-590.3596801757812,-130.73373413085938,12.03125""",neo g2a.com,"""692.0469360351562,-285.45770263671875,0.03125"""
3,31158,twist,"""-2052.701416015625,183.70281982421875,-193.96875""",Snax g2a.com,"""-2541.137451171875,-853.7131958007812,5.123417854309082"""
4,36397,olofmeister,"""530.6488647460938,-148.760009765625,64.01625061035156""",neo g2a.com,"""-281.74615478515625,-634.982421875,-63.96875"""
4,40638,Lekr0,"""-738.9906616210938,-684.3901977539062,14.03125""",byali g2a.com,"""-448.76385498046875,-652.3341674804688,-31.96875"""
4,40853,pashaBiceps g2a.com,"""-563.6339111328125,-917.9683837890625,-56.50584411621094""",wenton,"""344.4238586425781,-655.4896240234375,-105.31527709960938"""
4,41005,wenton,"""344.37841796875,-605.4081420898438,-37.51850891113281""",neo g2a.com,"""395.0973205566406,-1390.5732421875,-79.96875"""
4,41072,byali g2a.com,"""-335.07122802734375,-702.841552734375,-10.001632690429688""",twist,"""14.498770713806152,-327.9004211425781,-31.96875"""
4,41802,neo g2a.com,"""575.8825073242188,-1436.3997802734375,-22.698158264160156""",dennis,"""609.0631713867188,-1029.2767333984375,-105.52288818359375"""
4,42548,dennis,"""334.3925476074219,-940.1911010742188,-45.96875""",Snax g2a.com,"""-391.6866760253906,-1001.3848266601562,-124.80435943603516"""
4,43215,twist,"""332.7706604003906,-903.0491333007812,-28.009449005126953""",Snax g2a.com,"""280.16339111328125,-996.1347045898438,-51.640098571777344"""
5,71936,pashaBiceps g2a.com,"""699.1973876953125,-87.0474853515625,46.03125""",olofmeister,"""-482.2729187011719,-127.09317016601562,-32.9526252746582"""
5,78045,twist,"""-642.062255859375,-78.9273681640625,48.57125473022461""",neo g2a.com,"""708.8292846679688,-329.3989562988281,0.03125"""
5,81362,wenton,"""-366.7587890625,-568.1538696289062,14.03125""",Snax g2a.com,"""-245.8422393798828,-922.3189697265625,-112.16795349121094"""
5,81391,Snax g2a.com,"""-254.46522521972656,-924.632080078125,-48.37614440917969""",Lekr0,"""-311.10760498046875,-515.5330810546875,-52.411277770996094"""
5,81393,neo g2a.com,"""558.3463134765625,-250.273193359375,64.03125""",dennis,"""432.6477355957031,-262.43060302734375,49.5286865234375"""
5,81680,olofmeister,"""610.5484619140625,-176.67794799804688,64.03125""",byali g2a.com,"""561.9486694335938,-1426.508544921875,-79.96875"""
5,81875,dennis,"""644.7548217773438,-611.6278076171875,-51.45466613769531""",byali g2a.com,"""553.1862182617188,-1426.201171875,-79.96875"""
5,82053,Lekr0,"""238.05169677734375,-635.4284057617188,-27.96875""",TaZ g2a.com,"""-367.1697082519531,-1050.4305419921875,-121.80089569091797"""
6,87344,twist,"""312.6914367675781,-370.27215576171875,0.03125""",neo g2a.com,"""280.264404296875,-1057.355712890625,-91.96875"""
6,87378,neo g2a.com,"""280.2620544433594,-1057.3555908203125,-27.96875""",dennis,"""570.3274536132812,-197.352294921875,0.03125"""
6,87913,pashaBiceps g2a.com,"""-521.44775390625,-926.6258544921875,-54.32935333251953""",olofmeister,"""401.305419921875,-585.8223266601562,-99.57112884521484"""
6,88154,TaZ g2a.com,"""-842.3255004882812,-937.5714111328125,-63.396080017089844""",wenton,"""235.99620056152344,-709.3518676757812,-91.96875"""
6,88206,byali g2a.com,"""-414.28515625,-530.6815795898438,32.03125""",olofmeister,"""452.8550109863281,-315.70166015625,-78.93733215332031"""
