Round,Tick,Player,PlayerPosition,Velocity
1,56,dennis,"""-693.0850830078125,2276.534423828125,-199.33287048339844""","""176.956787109375,-158.99501037597656,0"""
1,56,byali g2a.com,"""-2336.554931640625,-1750.4285888671875,-26.318038940429688""","""91.7176284790039,219.50173950195312,0"""
1,56,pashaBiceps g2a.com,"""-2766.39892578125,-1516.2392578125,48.03125""","""192.36508178710938,139.96026611328125,0"""
1,56,wenton,"""-452.75872802734375,2311.038818359375,-229.37353515625""","""57.700443267822266,-230.78955078125,0"""
1,56,TaZ g2a.com,"""-2183.88330078125,-1666.9564208984375,-18.186416625976562""","""40.29970169067383,234.4549560546875,0"""
1,56,Snax g2a.com,"""-2386.661376953125,-1590.1055908203125,-16.836755752563477""","""-89.75430297851562,220.31143188476562,0"""
1,57,olofmeister,"""-445.6748962402344,2229.93798828125,-230.25901794433594""","""66.5801773071289,-229.508544921875,0"""
1,57,Lekr0,"""-676.0352783203125,2367.723876953125,-201.46408081054688""","""149.61041259765625,-183.172119140625,0"""
1,57,twist,"""-570.8795166015625,2254.425537109375,-214.60848999023438""","""127.13021850585938,-202.34469604492188,0"""
1,64,neo g2a.com,"""-2217.30615234375,-1669.821044921875,-22.940507888793945""","""-18.523284912109375,147.92178344726562,0"""
1,94,dennis,"""-632.8080444335938,2241.21142578125,-206.86746215820312""","""195.92849731445312,-148.089111328125,0"""
1,94,byali g2a.com,"""-2308.32080078125,-1682.75390625,-22.95052719116211""","""94.36571502685547,226.0975799560547,0"""
1,94,pashaBiceps g2a.com,"""-2707.7158203125,-1472.249267578125,48.03125""","""169.35202026367188,171.34886169433594,0"""
1,94,wenton,"""-434.8974914550781,2239.597412109375,-231.60617065429688""","""60.63691329956055,-242.5348358154297,0"""
1,94,TaZ g2a.com,"""-2168.244140625,-1595.124267578125,-12.506874084472656""","""46.10515594482422,245.5931854248047,0"""
1,94,Snax g2a.com,"""-2410.357666015625,-1521.50537109375,-4.059103012084961""","""-41.87529754638672,237.85975646972656,0"""
1,95,olofmeister,"""-425.1339111328125,2159.1318359375,-232.82662963867188""","""69.65299987792969,-240.10092163085938,0"""
1,95,Lekr0,"""-629.525146484375,2310.7802734375,-207.27781677246094""","""158.1463165283203,-193.62266540527344,0"""
1,95,twist,"""-532.5922241210938,2192.892578125,-219.39437866210938""","""128.27198791503906,-207.24917602539062,0"""
1,114,neo g2a.com,"""-2183.464599609375,-1606.7647705078125,-15.116519927978516""","""186.00546264648438,117.46959686279297,0"""
1,132,dennis,"""-573.9142456054688,2198.7763671875,-214.22914123535156""","""204.78053283691406,-131.79025268554688,0"""
